Nome da escola,UF,Município,Pública ou Privada,Nível sócio-econômico,Nota média na prova objetiva,Nota média na redação
BALAO AZUL DINAMICO ESCOLA EDUCACAO INF E ENS FUNDAMENTAL,SP,BAURU,Privada,Muito Alto,544.95,560.87
INSTITUTO EDUCACIONAL NOSSA SRA DE FATIMA,BA,CAMPO FORMOSO,Privada,Médio Alto,544.95,602.86
LICEU SAO JOSE DO RIO PRETO COLEGIO,SP,SAO JOSE DO RIO PRETO,Privada,Muito Alto,544.94,589.47
CELESTIN FREINET EEI E PG,SP,PRAIA GRANDE,Privada,Muito Alto,544.93,605.33
OBJETIVO COLEGIO,SP,ITAI,Privada,Alto,544.93,487.69
SESI 228 CENTRO EDUCACIONAL,SP,BOTUCATU,Privada,Alto,544.91,596.36
COLEGIO DINAMICO CHAPECO,SC,CHAPECO,Privada,Muito Alto,544.91,540.00
SESI 345 CENTRO EDUCACIONAL,SP,RIBEIRAO PRETO,Privada,Alto,544.91,560.83
ESC DE EDUC BAS RAINHA DO BRASIL,RS,PORTO ALEGRE,Privada,Muito Alto,544.87,604.06
COLEGIO SAO FRANCISCO DE ASSIS,GO,ANAPOLIS,Privada,Alto,544.85,574.12
INSTITUTO EDUCACIONAL DO ESTADO DE SAO PAULO IESP,SP,PRESIDENTE EPITACIO,Privada,Alto,544.84,593.85
CAMPOS SALLES COLEGIO UNIDADE I,SP,SAO PAULO,Privada,Muito Alto,544.82,623.43
INSTITUTO FEDERAL DA BAHIA - CAMPUS DE ILHEUS,BA,ILHEUS,Federal,Sem informação,544.77,665.22
POLICIA MILITAR COLEGIO DA,SP,GUARULHOS,Privada,Alto,544.75,580.48
COLEGIO AUGUSTUS,MG,SABARA,Privada,Alto,544.74,588.13
LUX DEI COLEGIO,SP,SAO PAULO,Privada,Alto,544.73,530.00
COOPERATIVA EDUCACIONAL DE PORTO SEGURO - COOEPS,BA,PORTO SEGURO,Privada,Médio Alto,544.73,574.74
CURSO GILBERTO CAMPELO,PI,TERESINA,Privada,Médio Alto,544.71,612.63
EEBP PROFESSORA ADELIA CABRAL VAREJAO,SC,LAGUNA,Privada,Médio Alto,544.71,547.37
SESI 424 CENTRO EDUCACIONAL,SP,CUBATAO,Privada,Alto,544.70,544.00
CENTRO INTEGRADO EDUCAR,MT,LUCAS DO RIO VERDE,Privada,Alto,544.69,537.00
SESI 351 CENTRO EDUCACIONAL,SP,ARACATUBA,Privada,Alto,544.68,549.23
ORGANIZACAO EDUCACIONAL JOAO XXIII INST EDUC MADRE ELISA SAVOLDI,SC,SOMBRIO,Privada,Alto,544.67,521.82
TECNO SERT COLEGIO,SP,SERTAOZINHO,Privada,Alto,544.66,583.08
ESC COLEGIO DE APLICACAO UFAC,AC,RIO BRANCO,Federal,Alto,544.66,591.11
COLEGIO GUSTAVO VIEIRA DE BRITO,RS,VACARIA,Privada,Muito Alto,544.65,554.44
EDUCAR COLEGIO,CE,FORTALEZA,Privada,Médio Alto,544.64,560.00
ESC SALESIANA SAO DOMINGOS SAVIO,DF,BRASILIA,Privada,Alto,544.61,577.25
COLEGIO IMPACTO,BA,LAURO DE FREITAS,Privada,Alto,544.60,583.26
GRUPO EDUCACIONAL DA ESTANCIA DECISAO,PE,RECIFE,Privada,Médio Alto,544.59,607.93
ESCOLA CENECISTA VICENTE DE MENEZES,AL,DELMIRO GOUVEIA,Privada,Médio,544.57,586.09
ESCOLA TECNICA ESTADUAL MAGALHAES BARATA,PA,BELEM,Estadual,Médio Baixo,544.56,577.22
COLEGIO SANTA CATARINA,PE,RECIFE,Privada,Alto,544.54,641.72
COLEGIO PURIFICACAO LTDA,SE,ARACAJU,Privada,Alto,544.53,633.85
COLEGIO DE APLICACAO DO CENTRO UNIVERSITARIO GERALDO DI BIASE,RJ,VOLTA REDONDA,Privada,Alto,544.52,622.75
BEKA COLEGIO UNIDADE III,SP,SAO PAULO,Privada,Muito Alto,544.52,635.38
CENTRO EDUCACIONAL MINGOZZI,RJ,RIO DE JANEIRO,Privada,Alto,544.50,600.00
SANTA IZILDINHA ESCOLA,SP,SAO PAULO,Privada,Muito Alto,544.50,599.51
COLEGIO PERNAMBUCANO,PE,PAULISTA,Privada,Médio Alto,544.49,574.55
COL LUTERANO SAO PAULO,RS,PORTO ALEGRE,Privada,Alto,544.48,556.67
SISTEMA PARTICULAR DE ENSINO PORTAL,SP,TAQUARITUBA,Privada,Alto,544.48,553.33
COLEGIO FUTURO VIP DE SAO JOAO DE MERITI,RJ,SAO JOAO DE MERITI,Privada,Alto,544.48,612.92
CAT HELCIO REZENDE DIAS,ES,VILA VELHA,Privada,Alto,544.47,562.39
E PART E I F M INST NSRA DOS ANJOS,PA,ABAETETUBA,Privada,Médio Alto,544.47,696.36
E P E I F M D PEDRO,PA,XINGUARA,Privada,Médio Alto,544.45,545.71
COLEGIO DOM BOSCO,RO,PORTO VELHO,Privada,Muito Alto,544.42,593.78
CENTRO DE ENSINO E PESQUISA APLICADA A EDUCACAO,GO,GOIANIA,Federal,Alto,544.42,653.06
LEGRAND - COLEGIO DE INTEGRACAO,RJ,RIO DE JANEIRO,Privada,Muito Alto,544.41,557.50
ESCOLA DE ENSINO FUNDAMENTAL E MEDIO DOM VICOSO,MG,MARIANA,Privada,Médio Alto,544.41,638.18
COLEGIO TIRADENTES PMMG PRADO,MG,BELO HORIZONTE,Estadual,Alto,544.39,548.97
14 DE JULHO COLEGIO,SP,SAO PAULO,Privada,Alto,544.39,613.95
COLEGIO ATENAS,MS,CAMPO GRANDE,Privada,Alto,544.38,598.62
COLEGIO PASSIONISTA,ES,CARIACICA,Privada,Alto,544.38,535.00
COL N SRA DAS DORES,MG,SAO JOAO DEL REI,Privada,Alto,544.33,706.36
OSCAR NIEMEYER ARQUITETO EMEFM,SP,SAO CAETANO DO SUL,Municipal,Alto,544.29,597.20
GRUPO EDUCACIONAL CONTATO LTDA,PE,RECIFE,Privada,Alto,544.29,524.86
CERVANTES COLEGIO,SP,RIBEIRAO PRETO,Privada,Muito Alto,544.28,570.71
WALDEMAR FALCAO INST,CE,ARACATI,Privada,Médio Alto,544.27,584.17
ESA ESC SOUZA ALVES,MG,PRATA,Privada,Alto,544.25,551.76
ESCOLA EP DE BARRA LTDA ME,RJ,CASIMIRO DE ABREU,Privada,Alto,544.24,619.23
CENTRO EDUCACIONAL GOMES PEREIRA,RJ,NITEROI,Privada,Alto,544.22,587.50
SISTEMA DE ENSINO CTEM,PA,CASTANHAL,Privada,Médio Alto,544.20,595.92
EE MELO VIANA,MG,BONFIM,Estadual,Médio,544.19,530.00
SESI 399 CENTRO EDUCACIONAL,SP,ITAPEVA,Privada,Alto,544.19,612.89
ESCOLA MONTESSORI,BA,PAULO AFONSO,Privada,Alto,544.17,591.33
E E F M ALVORADA,PA,MARABA,Privada,Alto,544.15,644.29
SESI 331 CENTRO EDUCACIONAL,SP,SOROCABA,Privada,Muito Alto,544.14,516.67
PROGRESSO COLEGIO,SP,GUARULHOS,Privada,Muito Alto,544.14,561.21
DIMENSAO COLEGIO,SP,SAO PAULO,Privada,Muito Alto,544.14,560.71
JUSCELINO K OLIVEIRA C E EF M PROFIS,PR,MARINGA,Estadual,Alto,544.13,614.67
EE SERAFIM RIBEIRO DE REZENDE,MG,FLORESTAL,Estadual,Médio Alto,544.07,533.04
CENTRO DE ATIVIDADES EURICO DE AGUIAR SALLES,ES,LINHARES,Privada,Alto,544.07,584.26
CAMPUS PAULISTANA DO INSTITUTO FEDERAL DO PIAUI,PI,PAULISTANA,Federal,Médio,544.07,628.70
JOAO BAPTISTA DE LIMA FIGUEIREDO ETEC,SP,MOCOCA,Estadual,Médio Alto,544.07,550.16
CENTRO DE SERVICOS EDUCACIONAIS DO PARA,PA,BELEM,Privada,Alto,544.06,590.85
UNIVERSAL STAR COLEGIO,SP,OSASCO,Privada,Alto,544.03,558.57
COLEGIO GUADALUPE,BA,SALVADOR,Privada,Médio Alto,544.03,586.42
COLEGIO AGORA,MG,VICOSA,Privada,Médio Alto,544.00,605.88
COL PROF SERVELINO RIBEIRO,MG,BOCAIUVA,Privada,Médio Alto,544.00,530.00
INSTITUTO NOSSA SENHORA DAS DORES,RJ,RIO DE JANEIRO,Privada,Alto,544.00,577.22
COLEGIO EVANGELICO NOVA VISAO,GO,SAO LUIS DE MONTES BELOS,Privada,Médio Alto,543.88,558.00
CORACAO IMACULADO DE MARIA COLEGIO,SP,JOSE BONIFACIO,Privada,Alto,543.88,534.00
CED ADVENTISTA DE TAGUATINGA,DF,BRASILIA,Privada,Alto,543.87,608.98
SAINT CLAIR COLEGIO,SP,SAO PAULO,Privada,Alto,543.87,574.29
COLEGIO AUXILIADORA,SC,CAMPOS NOVOS,Privada,Muito Alto,543.86,575.29
COLEGIO ANCHIETA,AL,MACEIO,Privada,Muito Alto,543.85,582.45
COLEGIO GRAFITE - COLEGIO SALA DE EDUCAR LTDA-ME,RJ,NITEROI,Privada,Muito Alto,543.85,548.80
ESCOLA SAO JOSE DE RIBAMAR,PI,TERESINA,Privada,Médio Alto,543.84,559.24
COLEGIO INTEGRADO DO MEIER,RJ,RIO DE JANEIRO,Privada,Alto,543.83,608.36
CENTRO EDUC TERRA NOVA DE ARARUAMA LTDA,RJ,ARARUAMA,Privada,Alto,543.83,588.75
RUMO INICIAL COLEGIO,SP,SAO PAULO,Privada,Muito Alto,543.83,547.57
PASSIONISTA SANTA GEMA COLEGIO,SP,SAO PAULO,Privada,Muito Alto,543.82,565.00
CENTRO EDUC IARA QUEIROZ DA SILVA,RJ,MARICA,Privada,Alto,543.81,550.67
INSTITUTO DE ENSINO DARWIN,PA,CASTANHAL,Privada,Alto,543.79,616.56
SAO JOSE COLEGIO ENSINO INFANTIL FUNDAMENTAL E MEDIO,SP,LENCOIS PAULISTA,Privada,Muito Alto,543.76,530.59
GASTAO VIDIGAL C E DR EF M PROFIS,PR,MARINGA,Estadual,Alto,543.75,578.52
COLEGIO PRAXIS,GO,GOIANIA,Privada,Alto,543.75,580.43
VERUSKA COLEGIO,SP,SAO PAULO,Privada,Alto,543.75,549.41
ESTILLO C ED INF ENS FUND MEDIO,PR,PINHAIS,Privada,Muito Alto,543.74,518.26
ESCOLA SISTEMA INTELIGENTE DE APRENDIZAGEM - COL OBJETIVO,MG,ITURAMA,Privada,Alto,543.71,601.00
COLEGIO CENECISTA MARICA,RJ,MARICA,Privada,Alto,543.71,608.70
IMACULADA CONCEICAO COLEGIO DA,CE,FORTALEZA,Privada,Alto,543.70,604.29
COLEGIO JOSE CORREIA VIANNA,AL,UNIAO DOS PALMARES,Privada,Médio Alto,543.69,570.00
COLEGIO SUPER APROVADO,BA,RIACHAO DO JACUIPE,Privada,Médio,543.69,552.86
GUEDES EDUCANDARIO,BA,IBICARAI,Privada,Médio Alto,543.68,596.25
COLEGIO ESTADUAL PROFESSOR ULISSES CABRAL,RS,ANTONIO PRADO,Estadual,Alto,543.66,553.79
COLEGIO MUTUM,MG,MUTUM,Privada,Alto,543.64,655.00
SESI 329 CENTRO EDUCACIONAL,SP,SAO PAULO,Privada,Alto,543.63,584.29
EE TEREZINHA PEREIRA,MG,DORES DO TURVO,Estadual,Médio,543.62,465.00
ESCOLA TECNICA ESTADUAL PROFESSOR AGAMENON MAGALHAES - ETEPAM,PE,RECIFE,Estadual,Médio Alto,543.62,642.57
COLEGIO IESGO,GO,FORMOSA,Privada,Alto,543.62,522.00
ELO FORMACAO INTEGRAL C EF M,PR,JACAREZINHO,Privada,Muito Alto,543.62,596.30
COLEGIO ADVENTISTA DE ITABORAI,RJ,ITABORAI,Privada,Alto,543.61,664.00
SESI 123 CENTRO EDUCACIONAL,SP,SOROCABA,Privada,Alto,543.61,581.48
ADVENTISTA DE LORENA ESCOLA EIF,SP,LORENA,Privada,Alto,543.61,574.74
TAMBAUENSE COLEGIO DE ENSINO,SP,TAMBAU,Privada,Alto,543.60,526.67
CENTRO EDUCACIONAL INSTITUTO SHC,BA,PORTO SEGURO,Privada,Sem informação,543.60,567.37
FEREGUETTI COLEGIO,SP,SAO PAULO,Privada,Muito Alto,543.58,583.05
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DE ALAGOAS CAMPUS ARAPIRACA,AL,ARAPIRACA,Federal,Médio,543.58,591.54
NARCISO DE MEDEIROS ENG AGRONOMO ETEC,SP,IGUAPE,Estadual,Médio Alto,543.57,534.55
COLEGIO ZONA NORTE,MG,JUIZ DE FORA,Privada,Alto,543.56,522.50
ESCOLA ESTADUAL DE APLICACAO PROFESSORA VANDE DE SOUZA FERREIRA,PE,PETROLINA,Estadual,Médio Alto,543.55,584.03
ASSOC EDUCACIONAL CARLOS E ZELIA CORTES COL MODELO,RJ,NOVA FRIBURGO,Privada,Alto,543.54,618.33
INST PEQUENO PRINCIPE - EXPANSAO,MG,CURVELO,Privada,Alto,543.53,589.41
COL ESPU,DF,BRASILIA,Privada,Alto,543.52,580.00
COLEGIO NOTA DEZ,SE,MALHADOR,Privada,Médio Alto,543.48,624.00
COL ODETE SAO PAIO,RJ,SAO GONCALO,Privada,Alto,543.44,564.86
COLEGIO ADVENTISTA CAMPO-GRANDENSE,MS,CAMPO GRANDE,Privada,Alto,543.41,610.34
COLEGIO COEDUCAR,RS,CACAPAVA DO SUL,Privada,Alto,543.41,528.00
ESC TEC POLIMIG CALAFATE,MG,BELO HORIZONTE,Privada,Alto,543.38,516.00
COLEGIO CENECISTA SUL PARAIBANO,RJ,PARAIBA DO SUL,Privada,Médio Alto,543.34,563.53
ROSA GATTORNO COLEGIO,CE,FORTALEZA,Privada,Médio Alto,543.30,604.00
ADVENTISTA DE TATUI COLEGIO,SP,TATUI,Privada,Alto,543.29,570.00
SESI 080 CENTRO EDUCACIONAL,SP,RIBEIRAO PIRES,Privada,Alto,543.28,548.97
ESC NS DA APARECIDA,RJ,TRES RIOS,Privada,Alto,543.28,659.13
APRENDENDO O CAMINHO C EI EF M,PR,MARINGA,Privada,Sem informação,543.28,670.59
INSTITUTO DE EDUCACAO BATISTA DE PORTO SEGURO,BA,PORTO SEGURO,Privada,Alto,543.27,556.19
CENTRO EDUCACIONAL MASTER,RN,NATAL,Privada,Sem informação,543.26,612.11
COLEGIO E CURSO PROSPER,RJ,RIO DE JANEIRO,Privada,Alto,543.24,603.48
INSTITUTO EDUCACIONAL APROVA,MG,NEPOMUCENO,Privada,Médio Alto,543.22,532.50
INTEGRACAO COLEGIO,SP,SAO PAULO,Privada,Alto,543.18,517.69
INSTITUTO DE EDUCACAO GUARIBA,SP,GUARIBA,Privada,Muito Alto,543.18,603.33
COL N SRA DO SS SACRAMENTO,MG,PIRAPORA,Privada,Alto,543.15,595.83
SOCIEDADE EDUCACIONAL RENATO COZZOLINO ANEXO,RJ,MAGE,Privada,Alto,543.14,543.48
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA BAIANO - CAMPUS SENHOR DO BONFIM,BA,SENHOR DO BONFIM,Federal,Médio Baixo,543.13,606.07
SESI 376 CENTRO EDUCACIONAL,SP,DIADEMA,Privada,Alto,543.11,578.26
CENTRO EDUC N SRA DA LUZ LTDA,PB,GUARABIRA,Privada,Médio Alto,543.10,584.23
COLEGIO SESI FRANCISCO BELTRAO - ENSINO MEDIO E EDUCACAO INFANTIL,PR,FRANCISCO BELTRAO,Privada,Alto,543.10,534.15
MONTEIRO LOBATO ESCOLA,SP,DIADEMA,Privada,Alto,543.06,614.55
MAIRINQUE ETEC DE,SP,MAIRINQUE,Estadual,Médio Alto,543.06,574.15
CASINHA FELIZ CENTRO DE ENSINO SC,MT,RONDONOPOLIS,Privada,Muito Alto,543.05,608.67
CENTRO EDUCACIONAL SAGRADO CORACAO DE JESUS,CE,IPU,Privada,Médio,543.02,584.00
ALFREDO JOSE BALBI DOUTOR ESCOLA DE APLICACAO,SP,TAUBATE,Privada,Muito Alto,543.01,558.33
COLEGIO CARIZA,BA,PORTO SEGURO,Privada,Alto,542.99,550.00
EEEFM TEOFILO PAULINO,ES,DOMINGOS MARTINS,Estadual,Médio Alto,542.99,547.77
PRE-MEDICO COLEGIO,SP,SAO PAULO,Privada,Muito Alto,542.98,554.17
INST BRAGA CARNEIRO LTDA,RJ,RIO DE JANEIRO,Privada,Alto,542.98,600.77
INST PEDAG CRESCER,MG,CONTAGEM,Privada,Muito Alto,542.95,629.52
COLEGIO NUNILA MACHADO -ROSAL,AL,SAO MIGUEL DOS CAMPOS,Privada,Alto,542.90,564.00
COLEGIO SIMETRICO LTDA,BA,FEIRA DE SANTANA,Privada,Sem informação,542.90,491.43
COLEGIO SANTO ANTONIO,MG,JACUTINGA,Privada,Alto,542.88,520.00
LUIZ ALBUQUERQUE -COLEGIO DE EDUCACAO BASICA - CEBLA,CE,SENADOR POMPEU,Privada,Médio Alto,542.85,604.14
COLEGIO FENIX,BA,ILHEUS,Privada,Alto,542.82,573.41
EXTERNATO CAMPISTA,RJ,CAMPOS DOS GOYTACAZES,Privada,Muito Alto,542.80,586.83
DECISAO COLEGIO CIDADE DE NOVA GRANADA,SP,NOVA GRANADA,Privada,Alto,542.77,611.11
CIDADE TIRADENTES ETEC DE,SP,SAO PAULO,Estadual,Médio Alto,542.76,597.96
COL SAVASSI,MG,BELO HORIZONTE,Privada,Sem informação,542.75,545.00
ESCOLA POLITECNICA DE MINAS GERAIS POLIMIG- UNIDADE FLORESTA,MG,BELO HORIZONTE,Privada,Alto,542.75,536.73
MAIA COLEGIO,SP,GUARULHOS,Privada,Muito Alto,542.74,681.00
UNIAO BRASILEIRA COLEGIO,SP,SAO PAULO,Privada,Alto,542.74,589.38
PIAGET COLEGIO E CURSO,RN,NATAL,Privada,Alto,542.73,671.43
NOSSA SENHORA DE FATIMA COLEGIO,SP,SAO PAULO,Privada,Muito Alto,542.72,614.91
COLONIA HOLANDESA C EI EF M,PR,ARAPOTI,Privada,Muito Alto,542.71,496.47
COLEGIO CONTEMPORANEO,RS,CAMAQUA,Privada,Alto,542.70,567.50
COL OBJETIVO GAMA,DF,BRASILIA,Privada,Muito Alto,542.69,532.63
CENTRO EDUCACIONAL BARROSO LEITE,RJ,CABO FRIO,Privada,Alto,542.69,593.64
CENTRO DE EDUCACAO PROBO MEIRA JUNIOR,BA,LIVRAMENTO DE NOSSA SENHORA,Privada,Médio Alto,542.68,617.50
RABONI INSTITUTO DE ENSINO,SP,PERUIBE,Privada,Alto,542.67,506.25
ESCOLA A FAZENDINHA,PA,MARABA,Privada,Alto,542.66,530.40
CENTRO EDUCACIONAL SAO PAULO - CEDUSP,RO,JI-PARANA,Privada,Muito Alto,542.65,635.83
EDUCARE DE ITAPOLIS COLEGIO,SP,ITAPOLIS,Privada,Muito Alto,542.65,627.14
POLICIA MILITAR COLEGIO DA UNIDADE SANTO ANDRE,SP,SANTO ANDRE,Privada,Muito Alto,542.64,586.67
COLEGIO CEFRON UNID II,MS,BELA VISTA,Privada,Alto,542.64,598.00
SESI 337 CENTRO EDUCACIONAL,SP,PEDERNEIRAS,Privada,Alto,542.62,609.52
CENTRO EDUCACIONAL INTERATIVO LTDA,PA,BELEM,Privada,Médio Alto,542.59,627.27
INST GLOBAL DE EDUC,DF,BRASILIA,Privada,Muito Alto,542.58,588.70
EDUC DO SERVICO SOCIAL DO COMERCIO - EDUSESC,DF,BRASILIA,Privada,Alto,542.58,589.12
ESQUEMA UNICO COLEGIO,SP,MARILIA,Privada,Muito Alto,542.57,599.74
JOAO FRIAZA COLEGIO,SP,EMBU-GUACU,Privada,Alto,542.53,595.24
MASTER SOCIEDADE CIVIL COLEGIO,SP,DUARTINA,Privada,Alto,542.53,620.00
COLEGIO ADVENTISTA SETOR PEDRO LUDOVICO,GO,GOIANIA,Privada,Alto,542.52,533.33
COLEGIO NOVO MUNDO,MG,BELO HORIZONTE,Privada,Muito Alto,542.52,578.10
CENTRO EDUCACIONAL SAO FRANCISCO DE ASSIS,ES,BARRA DE SAO FRANCISCO,Privada,Alto,542.51,581.74
COL EST PROFESSOR MANTOVANI,RS,ERECHIM,Estadual,Alto,542.50,579.62
ESCOLA PARTICULAR DO INSTITUTO SANTA MARIA,MT,CACERES,Privada,Alto,542.48,606.40
COLEGIO ANCHIETA,PE,RECIFE,Privada,Alto,542.47,571.11
CENTRO EDUCACIONAL REDENTOR,RJ,ITAPERUNA,Privada,Alto,542.47,607.62
SESI 390 CENTRO EDUCACIONAL,SP,PIRASSUNUNGA,Privada,Alto,542.45,565.64
AFONSO PENA COLEGIO,SP,SANTOS,Privada,Muito Alto,542.45,587.50
CAMPUS PALMAS,TO,PALMAS,Federal,Médio Alto,542.41,513.60
NOSSA SENHORA DAS MERCES COLEGIO MERCEDARIO,SP,SAO PAULO,Privada,Alto,542.41,561.05
COLEGIO JEAN PIAGET DE PIRAPOZINHO CENTRO EDUCACIONAL,SP,PIRAPOZINHO,Privada,Alto,542.40,622.00
FCO DE ASSIS COLEGIO SAO,CE,JUAZEIRO DO NORTE,Privada,Médio Alto,542.39,585.45
BATISTA AGAPE COLEGIO,SP,CAMPINAS,Privada,Muito Alto,542.35,575.26
CRIATIVA ESCOLA DE EIEEF,SP,VARGEM GRANDE PAULISTA,Privada,Sem informação,542.34,578.18
UNIDADE EDUCACIONAL GAMA E SOUZA,RJ,RIO DE JANEIRO,Privada,Alto,542.33,526.15
COL MUNICIPAL RIO BRANCO,MG,VISCONDE DO RIO BRANCO,Municipal,Médio Alto,542.32,539.19
COLEGIO HERCILIO BOENO DE CAMARGOEI EF E MEDIO,PR,PALMAS,Privada,Muito Alto,542.30,534.78
INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA GOIANO - CAMPUS MORRINHOS,GO,MORRINHOS,Federal,Médio Alto,542.30,582.19
ESC AGRICOLA TERRA MAE,MG,NOVO ORIENTE DE MINAS,Privada,Médio Baixo,542.29,566.00
COLEGIO IBPI,RJ,RIO DE JANEIRO,Privada,Muito Alto,542.28,590.43
INSTITUTO EDUCACIONAL SAO MATEUS,PI,TERESINA,Privada,Médio Alto,542.22,600.51
ASSOCIACAO EDUCACIONAL PROFESSORA NORONHA,MA,DOM PEDRO,Privada,Médio Alto,542.22,563.75
CENTRO EDUC JD NETO LTDA,RJ,ARARUAMA,Privada,Alto,542.20,620.00
COLEGIO LICEU CAMPO GRANDE,RJ,RIO DE JANEIRO,Privada,Alto,542.19,591.64
CENTRO EDUCACIONAL SOUZA FERREIRA LTDA,BA,EUCLIDES DA CUNHA,Privada,Médio Alto,542.18,532.50
COLEGIO VITORIA LTDA,CE,CRATEUS,Privada,Alto,542.15,652.50
ETE HELBER VIGNOLI MUNIZ,RJ,SAQUAREMA,Estadual,Sem informação,542.14,579.61
ADVENTISTA COLEGIO DE VILA YARA,SP,OSASCO,Privada,Alto,542.12,581.97
SESI 109 CENTRO EDUCACIONAL,SP,FRANCA,Privada,Alto,542.12,577.36
PAULISTA INSTITUICAO DE ENSINO,SP,SAO PAULO,Privada,Alto,542.08,522.76
SESI 148 CENTRO EDUCACIONAL,SP,BIRIGUI,Privada,Alto,542.08,532.00
COLEGIO SALESIANO NSRA DO CARMO ANANINDEUA,PA,ANANINDEUA,Privada,Médio Alto,542.04,560.51
CENTRO INTEGRADO DE CURSOS E LINGUAS,TO,PALMAS,Privada,Muito Alto,542.01,613.33
MARIA ESTER 1 COLEGIO,CE,FORTALEZA,Privada,Médio Alto,542.01,587.68
SESI 346 CENTRO EDUCACIONAL,SP,RIBEIRAO PRETO,Privada,Alto,541.98,596.36
COLEGIO ALCANTARA,RJ,SAO GONCALO,Privada,Alto,541.98,557.27
COL DOM BOSCO,AM,MANAUS,Privada,Muito Alto,541.98,602.00
MODERNO CENT DE ENSINO EDUC E CULTURA,AP,MACAPA,Privada,Muito Alto,541.97,604.63
CAT JOSE TARQUINIO SILVA,ES,VITORIA,Privada,Muito Alto,541.96,511.01
PONTES BARBOSA COLEGIO,CE,JAGUARUANA,Privada,Médio,541.95,528.14
COLEGIO NOSSA SENHORA DE SION-SOLITUDE- EDUCACAO INFANTIL ENSINO FUNDAMENTAL E ENSINO MEDIO,PR,CURITIBA,Privada,Muito Alto,541.92,595.00
ARLETE N SCHRAMM C PROFA EI EF M,PR,SAO MATEUS DO SUL,Privada,Muito Alto,541.90,536.00
COLEGIO SALESIANO DE SANTA TERESA,MS,CORUMBA,Privada,Alto,541.89,555.56
MOYE PADRE COLEGIO,SP,SAO PAULO,Privada,Muito Alto,541.88,642.86
INSTITUTO HELENA GOULLART - CAPP,RJ,RIO DE JANEIRO,Privada,Alto,541.87,580.00
SESI 108 CENTRO EDUCACIONAL,SP,SAO CARLOS,Privada,Alto,541.86,566.25
BATISTA DE ITAPEVI ESCOLA,SP,ITAPEVI,Privada,Alto,541.84,535.58
COLEGIO FRANCISCANO SANTA CLARA,BA,SALVADOR,Privada,Médio Alto,541.84,606.29
VALDEMAR ALCANTARA COLEGIO DE ENSINO FUNDAMENTAL E MEDIO,CE,QUIXADA,Privada,Médio Alto,541.82,717.00
NOSSA SENHORA DE FATIMA COLEGIO,CE,BARBALHA,Privada,Médio Alto,541.80,615.24
INST DE ENSINO COLLEGE,RJ,SAO GONCALO,Privada,Alto,541.79,572.26
RENOVACAO COLEGIO,SP,SANTOS,Privada,Muito Alto,541.78,520.00
INSTITUTO FEDERAL DE EDUCACAO TECNOLOGICA DO NORTE DE MINAS GERAIS - CAMPUS SALINAS,MG,SALINAS,Federal,Médio,541.77,548.85
DIADEMA COLEGIO INTEGRADO,SP,DIADEMA,Privada,Alto,541.74,518.18
COLEGIO SOPHIA,BA,SALVADOR,Privada,Sem informação,541.73,576.00
COLEGIO ANTONIO PEIXOTO,SC,FLORIANOPOLIS,Privada,Muito Alto,541.73,511.58
INSTITUTO DE EDUCACAO E CULTURA DO OESTE PAULISTA,SP,ILHA SOLTEIRA,Privada,Muito Alto,541.71,575.00
CENTRO DE EDUCACAO PROFISSIONAL ALPHA LTDA,MG,MONTE CARMELO,Privada,Médio Alto,541.68,532.38
ALFA COLEGIO UNIDADE II,SP,GUARUJA,Privada,Alto,541.66,564.71
SAO JOAQUIM COLEGIO,SP,LORENA,Privada,Muito Alto,541.65,658.57
CENTRO EDUCACIONAL PARAISO,BA,LAURO DE FREITAS,Privada,Alto,541.61,514.00
COLEGIO CAMINHO DO SABER,SC,RIO NEGRINHO,Privada,Muito Alto,541.60,578.57
SESI 083 CENTRO EDUCACIONAL,SP,RIO CLARO,Privada,Alto,541.59,617.78
EE MAESTRO VILLA LOBOS,MG,BELO HORIZONTE,Estadual,Médio Alto,541.57,570.84
DESCALVADO COLEGIO UNIDADE I,SP,DESCALVADO,Privada,Alto,541.57,555.71
TIRADENTES COLEGIO,CE,FORTALEZA,Privada,Médio Alto,541.57,605.32
COLEGIO EQUIPE MACAPA,AP,MACAPA,Privada,Muito Alto,541.56,628.15
PENTAGONO COLEGIO UNIDADE NOVO ORATORIO,SP,SANTO ANDRE,Privada,Muito Alto,541.51,610.00
VINHEDO COLEGIO DE,SP,VINHEDO,Privada,Muito Alto,541.49,529.00
LICEU JOSE DE ALENCAR,SP,SAO PAULO,Privada,Sem informação,541.47,578.00
VINICIUS DE MORAES COLEGIO,SP,GUARULHOS,Privada,Muito Alto,541.45,568.57
CAMINHO FELIZ CENTRO DE ENSINO CECAF,SP,SANTA FE DO SUL,Privada,Muito Alto,541.44,587.50
CENTRO DE ENSINO PODIUM,AP,MACAPA,Privada,Muito Alto,541.44,613.33
ERTE COLEGIO,SP,SAO PAULO,Privada,Sem informação,541.44,532.94
COLEGIO APICE,ES,SERRA,Privada,Muito Alto,541.40,567.06
BASIC COLEGIO,SP,TAUBATE,Privada,Muito Alto,541.39,617.78
ESCOLA GIRASSOL,BA,REMANSO,Privada,Médio Alto,541.38,654.29
