Nome da escola,UF,Município,Pública ou Privada,Nível sócio-econômico,Nota média na prova objetiva,Nota média na redação
COL MARILIA MATTOSO,RJ,NITEROI,Privada,Muito Alto,675.32,750.00
COLEGIO DE APLICACAO DO CE DA UFPE,PE,RECIFE,Federal,Muito Alto,674.65,843.85
COL FRANCO BRASILEIRO,RJ,RIO DE JANEIRO,Privada,Muito Alto,674.56,773.95
COLEGIO SANTA CATARINA,MG,JUIZ DE FORA,Privada,Muito Alto,674.02,791.13
COL OLIMPO DE AGUAS CLARAS,DF,BRASILIA,Privada,Sem informação,673.97,754.00
ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS,PI,TERESINA,Privada,Muito Alto,673.79,775.05
PORTO SEGURO VISCONDE COLEGIO UNIDADE II,SP,VALINHOS,Privada,Muito Alto,672.69,780.16
UIRAPURU COLEGIO,SP,SOROCABA,Privada,Muito Alto,672.47,782.00
ETAPA COLEGIO DE EFM,SP,SAO PAULO,Privada,Muito Alto,672.39,703.94
COL IDEAL,DF,BRASILIA,Privada,Sem informação,672.15,767.27
COLEGIO MARISTA DOM SILVERIO,MG,BELO HORIZONTE,Privada,Muito Alto,671.35,756.33
AGOSTINIANO MENDEL COLEGIO,SP,SAO PAULO,Privada,Muito Alto,670.60,693.00
VITAL BRAZIL COLEGIO,SP,SAO PAULO,Privada,Sem informação,670.35,722.89
COLEGUIUM - ENSINO FUNDAMENTAL E MEDIO,MG,BELO HORIZONTE,Privada,Muito Alto,670.20,786.11
COLEGIO CIENCIAS APLICADAS,RN,NATAL,Privada,Muito Alto,670.00,779.47
COLEGIO ANCHIETA,BA,SALVADOR,Privada,Muito Alto,669.92,738.62
ESCOLA SESC DE ENSINO MEDIO,RJ,RIO DE JANEIRO,Privada,Alto,669.73,794.94
LEONARDO ANGLO COLEGIO,SP,BARUERI,Privada,Muito Alto,668.88,688.57
CEV COLEGIO UNIDADE JOCKEY,PI,TERESINA,Privada,Alto,668.01,825.20
POLIEDRO COLEGIO,SP,SAO JOSE DOS CAMPOS,Privada,Muito Alto,667.13,732.25
LICEU DE ARTES E OFICIOS DE SAO PAULO ESCOLA TECNICA,SP,SAO PAULO,Privada,Muito Alto,666.67,774.81
COLEGIO MILITAR DE BELO HORIZONTE,MG,BELO HORIZONTE,Federal,Muito Alto,665.94,734.84
CEMP ENSINO MEDIO LTDA,RJ,RIO DE JANEIRO,Privada,Muito Alto,665.91,855.00
UNIDADE JARDIM COLEGIO,SP,SANTO ANDRE,Privada,Muito Alto,665.54,729.27
COLEGIO MARISTA - VARGINHA,MG,VARGINHA,Privada,Muito Alto,665.29,761.43
SANTO AMERICO COLEGIO,SP,SAO PAULO,Privada,Muito Alto,665.10,754.44
ESCOLA PREPARATORIA DE CADETES DO AR,MG,BARBACENA,Federal,Muito Alto,664.50,651.03
MASTER COLEGIO,CE,FORTALEZA,Privada,Alto,664.24,818.61
CENTRO EDUC ESPACO INTEGRADO,RJ,RIO DE JANEIRO,Privada,Muito Alto,664.01,811.63
COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,MG,BELO HORIZONTE,Privada,Muito Alto,663.68,746.12
ESC ISRAELITA BRAS ELIEZER STEINBARG MAX NORDAU,RJ,RIO DE JANEIRO,Privada,Muito Alto,663.04,773.75
PALMARES COLEGIO EFM,SP,SAO PAULO,Privada,Muito Alto,662.90,726.82
COL SAO VICENTE DE PAULO,RJ,RIO DE JANEIRO,Privada,Muito Alto,662.63,753.40
ALBERT SABIN COLEGIO,SP,SAO PAULO,Privada,Muito Alto,662.00,725.11
LEONARDO DA VINCI COLEGIO ANGLO,SP,OSASCO,Privada,Muito Alto,661.79,736.00
COLTEC - COLEGIO TECNICO DA UFMG,MG,BELO HORIZONTE,Federal,Alto,661.66,684.50
LEONARDO DA VINCI COLEGIO DE ENSINO FUNDAMENTAL E MEDIO,SP,JUNDIAI,Privada,Muito Alto,661.54,648.76
PROGRESSO CAMPINEIRO COLEGIO,SP,CAMPINAS,Privada,Muito Alto,661.37,732.86
LAVINIENSE ENSINO INTEGRADO,AM,MANAUS,Privada,Muito Alto,661.34,753.00
TERMOMECANICA COLEGIO,SP,SAO BERNARDO DO CAMPO,Privada,Muito Alto,661.24,793.30
COL PODION,DF,BRASILIA,Privada,Muito Alto,660.39,711.67
COL BAHIENSE LTDA,RJ,RIO DE JANEIRO,Privada,Muito Alto,660.37,751.15
ESCOLA SAO DOMINGOS,ES,VITORIA,Privada,Muito Alto,660.09,672.13
COLEGIO ACESSO,BA,FEIRA DE SANTANA,Privada,Muito Alto,659.81,699.64
ASTHER COLEGIO,SP,CAMPINAS,Privada,Muito Alto,659.34,793.33
COLEGIO JAO LTDA,GO,GOIANIA,Privada,Muito Alto,659.27,740.41
COL ANDREWS,RJ,RIO DE JANEIRO,Privada,Muito Alto,659.18,742.86
FARIAS BRITO PRE VESTIBULAR ALDEOTA,CE,FORTALEZA,Privada,Muito Alto,659.08,773.50
CENTRO DE ESTUDOS INTEGRADOS,RJ,BARRA DO PIRAI,Privada,Muito Alto,658.92,811.88
GRUPO GENESE DE ENSINO COLEGIO E CURSO,PE,RECIFE,Privada,Muito Alto,658.85,731.03
CAMPUS 1 - BH,MG,BELO HORIZONTE,Federal,Alto,658.67,717.46
COLEGIO ESPANHOL SANTA MARIA CIDADE NOVA,MG,BELO HORIZONTE,Privada,Muito Alto,658.50,777.25
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS - CEFET MG - CAMPUS TIMOTEO,MG,TIMOTEO,Federal,Alto,658.04,697.92
OBJETIVO JUNIOR COLEGIO,SP,TAUBATE,Privada,Muito Alto,658.00,692.86
ESCOLA PARQUE - BARRA,RJ,RIO DE JANEIRO,Privada,Muito Alto,657.85,746.13
COL MARISTA SANTA MARIA EDUC INF ENS FUND E MEDIO,PR,CURITIBA,Privada,Muito Alto,657.71,699.68
SAO PAULO ETEC DE,SP,SAO PAULO,Estadual,Muito Alto,657.59,696.70
COLEGIO DE A A Z,RJ,RIO DE JANEIRO,Privada,Muito Alto,657.37,813.54
AUGUSTO LARANJA COLEGIO UNIDADE I,SP,SAO PAULO,Privada,Muito Alto,657.21,698.75
COLEGIO ALEXANDER FLEMING,MS,CAMPO GRANDE,Privada,Muito Alto,656.84,734.86
UNIVERSIDADE FEDERAL DO PARANA - SEPT,PR,CURITIBA,Federal,Alto,656.82,658.62
COLEGIO PH,RJ,NITEROI,Privada,Muito Alto,656.53,793.67
CIDADE DE ATIBAIA COLEGIO,SP,ATIBAIA,Privada,Muito Alto,656.22,681.76
COLEGIO PH,RJ,RIO DE JANEIRO,Privada,Muito Alto,656.17,777.37
ESC MODELAR CAMBAUBA,RJ,RIO DE JANEIRO,Privada,Muito Alto,655.91,749.31
COLEGIO SANTA MARIA CORACAO EUCARISTICO,MG,BELO HORIZONTE,Privada,Muito Alto,655.78,778.10
COMUNITARIA DE CAMPINAS ESCOLA,SP,CAMPINAS,Privada,Muito Alto,655.70,708.19
MONTEIRO LOBATO COLEGIO,SP,MOGI GUACU,Privada,Muito Alto,655.70,680.91
IMACULADA INSTITUTO EDUCACIONAL,SP,CAMPINAS,Privada,Muito Alto,655.56,710.85
COLEGIO 17 DE AGOSTO,PE,RECIFE,Privada,Muito Alto,655.45,743.75
RECANTO INF IMACULADA CONCEICAO,RJ,RIO DE JANEIRO,Privada,Muito Alto,655.44,755.28
COL PENTAGONO,RJ,RIO DE JANEIRO,Privada,Muito Alto,655.23,729.02
COLEGIO PEDRO II - CAMPUS CENTRO,RJ,RIO DE JANEIRO,Federal,Alto,655.15,727.80
COLEGIO SAGRADO CORACAO DE MARIA,ES,VITORIA,Privada,Muito Alto,655.04,626.25
MIGUEL DE CERVANTES COLEGIO,SP,SAO PAULO,Privada,Muito Alto,654.92,689.35
ANGLO - LEONARDO DA VINCI COLEGIO,SP,TABOAO DA SERRA,Privada,Muito Alto,654.58,724.00
SIDARTA COLEGIO,SP,COTIA,Privada,Muito Alto,654.01,703.00
COLEGIO MILITAR DE JUIZ DE FORA,MG,JUIZ DE FORA,Federal,Muito Alto,654.00,736.56
COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM,MG,CONTAGEM,Privada,Muito Alto,653.93,703.09
INST DE TECNOLOGIA ORT,RJ,RIO DE JANEIRO,Privada,Muito Alto,653.64,695.15
PRUDENTE DE MORAES COLEGIO,SP,SALTO,Privada,Muito Alto,653.54,711.58
IFES - CAMPUS COLATINA,ES,COLATINA,Federal,Alto,653.39,700.61
ESCOLA ALEMA CORCOVADO - EXPERIMENTAL,RJ,RIO DE JANEIRO,Privada,Muito Alto,652.90,771.04
ESCOLA MULTIPLA,ES,SERRA,Privada,Muito Alto,652.49,647.33
CENTRO EDUCACIONAL LATO SENSU,AM,MANAUS,Privada,Muito Alto,652.47,735.32
COL STA MARCELINA,RJ,RIO DE JANEIRO,Privada,Muito Alto,652.31,695.83
ESCOLA PARQUE,RJ,RIO DE JANEIRO,Privada,Muito Alto,652.28,751.98
GRUPO EDUCACIONAL MOPI LTDA,RJ,RIO DE JANEIRO,Privada,Muito Alto,652.27,726.25
PORTO SEGURO VISCONDE COLEGIO,SP,SAO PAULO,Privada,Muito Alto,652.25,705.49
COL TEC INDUSTRIAL PROF ISAAC PORTAL ROLDAN UNESP,SP,BAURU,Estadual,Muito Alto,651.85,684.57
COLEGIO MILITAR DE CURITIBA,PR,CURITIBA,Federal,Muito Alto,650.96,711.45
COLEGIO LUMIERE,MS,DOURADOS,Privada,Muito Alto,650.93,735.00
SAO LUIS COLEGIO EIFM,SP,SAO PAULO,Privada,Muito Alto,650.91,760.47
ASSOCIACAO JESUITA DE EDUCACAO E ASSISTENCIA SOCIAL,MG,JUIZ DE FORA,Privada,Muito Alto,650.89,761.83
ALFA DE UMUARAMA C E F M,PR,UMUARAMA,Privada,Alto,650.87,718.00
COLEGIO SAO FRANCISCO DE SALES,PI,TERESINA,Privada,Alto,650.77,783.75
COL DOM BOSCO,RJ,RESENDE,Privada,Muito Alto,650.41,703.27
COL GENOMA,MG,GOVERNADOR VALADARES,Privada,Muito Alto,650.03,793.04
COL IMPULSO,MG,SETE LAGOAS,Privada,Muito Alto,649.75,790.12
ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO,CE,FORTALEZA,Privada,Muito Alto,649.35,751.05
COLEGIO TRILINGUE INOVACAO,SC,CHAPECO,Privada,Alto,649.01,691.30
DOM BARRETO COLEGIO,SP,CAMPINAS,Privada,Muito Alto,648.98,735.45
MAGNO COLEGIO,SP,SAO PAULO,Privada,Muito Alto,648.93,667.88
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS - CAMPUS DIVINOPOLIS,MG,DIVINOPOLIS,Federal,Alto,648.86,724.95
COLEGIO PH,RJ,RIO DE JANEIRO,Privada,Muito Alto,648.76,778.88
CED SIGMA,DF,BRASILIA,Privada,Muito Alto,648.66,665.37
COLEGIO ANGLO BRASILEIRO,BA,SALVADOR,Privada,Muito Alto,648.64,773.79
CENTRO DE EDUCACAO INTEGRADA LTDA - MATRIZ,RN,NATAL,Privada,Muito Alto,648.55,772.52
COLEGUIUM - UNIDADE ALIPIO DE MELO,MG,BELO HORIZONTE,Privada,Sem informação,648.48,729.73
SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO,SP,SAO CARLOS,Privada,Sem informação,648.10,700.69
COLEGIO LEONARDO DA VINCI-ALFA,RS,PORTO ALEGRE,Privada,Muito Alto,647.95,710.65
CENTRO EDUCACIONAL FREI SERAFICO,MG,SAO JOAO DEL REI,Privada,Muito Alto,647.88,836.30
ANTARES COLEGIO,SP,AMERICANA,Privada,Muito Alto,647.82,705.00
CENTRO HIPARCO DE ENSINO,MG,JUIZ DE FORA,Privada,Sem informação,647.75,761.25
COLEGIO SALESIANO JARDIM CAMBURI,ES,VITORIA,Privada,Muito Alto,647.70,673.24
RENOVACAO COLEGIO,SP,INDAIATUBA,Privada,Muito Alto,647.60,656.92
COLEGIO ANCHIETA,RJ,NOVA FRIBURGO,Privada,Muito Alto,647.52,733.82
CED SIGMA - ASA NORTE,DF,BRASILIA,Privada,Muito Alto,647.30,661.66
CIDADE DE BRAGANCA PTA COLEGIO,SP,BRAGANCA PAULISTA,Privada,Muito Alto,647.23,689.14
ESCOLA AUTONOMIA,SC,FLORIANOPOLIS,Privada,Sem informação,647.12,683.11
CAMPINAS COLEGIO TECNICO DE - UNICAMP,SP,CAMPINAS,Estadual,Muito Alto,647.09,653.03
INSTITUTO DE APLICACAO FERNANDO RODRIGUES DA SILVEIRA CAP-UERJ,RJ,RIO DE JANEIRO,Estadual,Muito Alto,647.04,774.05
